product_name,fiber_100g,proteins_100g,fructose_100g,fat_100g,carbohydrates_100g,sugars_100g,sodium_100g,nutrition-score-fr_100g,pnns_groups_1
Filet de bœuf,0.0,7.502766883761163,33.61153846153846,9.8,28.201009644294746,15.147242567983755,0.255905511811024,11.0,unknown
Lion Peanut x2,2.5,2.5,33.61153846153846,20.0,70.0,57.5,0.038,22.0,unknown
Twix x2,0.0,7.502766883761163,33.61153846153846,9.8,28.201009644294746,15.147242567983755,0.255905511811024,11.0,unknown
Pack de 2 Twix,6.2,6.25,33.61153846153846,4.17,77.08,15.147242567983755,0.255905511811024,11.0,unknown
Salade Cesar,2.0,22.0,33.61153846153846,12.0,23.0,0.0,0.85,6.0,Fruits and vegetables
Danoises à la cannelle roulées,2.05,4.79,33.61153846153846,14.4,54.1,28.1,0.363,11.0,Sugary snacks
Flute,0.0,7.502766883761163,33.61153846153846,9.8,28.201009644294746,15.147242567983755,0.255905511811024,11.0,Cereals and potatoes
Chaussons tressés aux pommes,2.0,3.33,33.61153846153846,10.7,38.7,24.7,0.255,9.0,Sugary snacks
Pain Burger Artisan,2.22,10.0,33.61153846153846,1.11,53.3,1.11,0.6,1.0,unknown
lentilles vertes ,0.0,7.502766883761163,33.61153846153846,9.8,28.201009644294746,15.147242567983755,0.255905511811024,11.0,Cereals and potatoes
Biscuits sablés fourrage au cacao,0.0,7.502766883761163,33.61153846153846,9.8,28.201009644294746,15.147242567983755,0.255905511811024,11.0,Sugary snacks
Quiche Lorraine,0.357,5.36,33.61153846153846,6.79,7.86,0.714,0.196,2.0,Composite foods
Pâté au poulet,0.0,33.9,33.61153846153846,10.2,16.6,15.147242567983755,0.289,11.0,Fish Meat Eggs
Thé de Noël aromatisé orange-cannelle,0.0,7.502766883761163,33.61153846153846,9.8,28.201009644294746,15.147242567983755,0.255905511811024,11.0,Beverages
Sirops pour ganache macarons,0.0,7.502766883761163,33.61153846153846,9.8,28.201009644294746,15.147242567983755,0.255905511811024,11.0,unknown
Belgische Pralinen,0.0,4.7,33.61153846153846,33.3,53.8,51.5,0.0354330708661417,26.0,Sugary snacks
Luxury Christmas Pudding,4.7,3.9,33.61153846153846,7.0,54.2,44.0,0.078740157480315,10.0,unknown
Luxury Christmas Pudding,4.7,3.9,33.61153846153846,7.0,54.2,44.0,0.0787,10.0,Sugary snacks
"Pepsi, Nouveau goût !",0.0,0.0,33.61153846153846,0.0,10.4,10.4,0.01,13.0,Beverages
Diet Coke,0.0,7.502766883761163,33.61153846153846,9.8,28.201009644294746,15.147242567983755,0.255905511811024,11.0,unknown
